ticker,industry,net_income,compount_rate_5y,compount_rate_7y,average_5y_roc,average_5y_roe,pe,dividend_yield,debtOnCapital,average_5y_compound_rate,average_7y_compound_rate
CAP,Tài nguyên Cơ bản,"{'2023': 108, '2022': 109, '2021': 58, '2020': 40, '2019': 28, '2018': 35, '2017': 15, '2016': 19, '2015': 32, '2014': 17, '2013': 16, '2012': 20, '2011': 17, '2010': 9, '2009': 4, '2008': 1, '2007': 3, '2006': 2, '2005': 0}","{'2023': 0.27037037037037037, '2022': 0.5340909090909091, '2021': 0.2846715328467153, '2020': 0.06201550387596899, '2019': 0.09322033898305085, '2018': 0.1919191919191919, '2017': -0.04807692307692308, '2016': 0.0196078431372549, '2015': 0.2911392405063291, '2014': 0.19696969696969696, '2013': 0.29411764705882354, '2012': 0.5, '2011': 0.7894736842105263, '2010': 0.9}","{'2023': 0.29276315789473684, '2022': 0.3392070484581498, '2021': 0.22043010752688172, '2020': 0.14814814814814814, '2019': 0.05194805194805195, '2018': 0.1323529411764706, '2017': 0.046153846153846156, '2016': 0.13043478260869565, '2015': 0.36904761904761907, '2014': 0.2, '2013': 0.25, '2012': 0.5555555555555556}",0.49350000000000005,0.49350000000000005,13.0,0.101,0.0,0.24887373103340296,0.17585761447232648
VCS,Xây dựng và Vật liệu,"{'2023': 846, '2022': 1149, '2021': 1772, '2020': 1428, '2019': 1410, '2018': 1124, '2017': 1122, '2016': 676, '2015': 405, '2014': 212, '2013': 68, '2012': 56, '2011': 123, '2010': 114, '2009': 94, '2008': 75, '2007': 41, '2006': 6, '2005': 0}","{'2023': -0.040389365102426265, '2022': 0.003938156359393232, '2021': 0.19027777777777777, '2020': 0.21595946801773275, '2019': 0.3385137044362814, '2018': 0.42529198550140956, '2017': 0.7522935779816514, '2016': 0.6400462962962963, '2015': 0.5078534031413613, '2014': 0.25934065934065936, '2013': -0.015151515151515152, '2012': 0.03355704697986577, '2011': 0.35454545454545455, '2010': 0.5277777777777778}","{'2023': 0.019582997350535654, '2022': 0.0937381882323296, '2021': 0.24462913595734673, '2020': 0.2710783336655372, '2019': 0.36964236964236963, '2018': 0.3760330578512397, '2017': 0.6094316807738815, '2016': 0.542910447761194, '2015': 0.444743935309973, '2014': 0.29947460595446584, '2013': 0.12180746561886051, '2012': 0.12362030905077263}",0.33499999999999996,0.402,11.9,0.064,0.16666666666666669,0.14165994829775178,0.28344796621046286
DGC,Hóa chất,"{'2023': 3242, '2022': 6037, '2021': 2514, '2020': 948, '2019': 572, '2018': 873, '2017': 128, '2016': 320, '2015': 390, '2014': 221, '2013': 297, '2012': 335, '2011': 144, '2010': 80, '2009': 17, '2008': 85}","{'2023': 0.2164656432748538, '2022': 1.1735849056603773, '2021': 0.7722632875747976, '2020': 0.24441524310118265, '2019': 0.18167701863354038, '2018': 0.4247787610619469, '2017': -0.1324376199616123, '2016': 0.12689257390050468, '2015': 0.2878365831012071, '2014': 0.23367697594501718, '2013': 0.3207261724659607}","{'2023': 0.25649578651685395, '2022': 0.9829416884247172, '2021': 0.6642526071842411, '2020': 0.23241699393073903, '2019': 0.09243369734789392, '2018': 0.397275204359673, '2017': 0.026860660324566313, '2016': 0.204177897574124, '2015': 0.2586938083121289}",0.24642045454545453,0.2710625,15.1,0.032,0.09090909090909091,0.5176812196489504,0.3789538054412406
DHA,Xây dựng và Vật liệu,"{'2023': 87, '2022': 52, '2021': 90, '2020': 98, '2019': 68, '2018': 67, '2017': 59, '2016': 49, '2015': 45, '2014': 15, '2013': 8, '2012': 16, '2011': 39, '2010': 54, '2009': 68, '2008': 37, '2007': 36, '2006': 23, '2005': 37}","{'2023': 0.05333333333333334, '2022': -0.01832460732984293, '2021': 0.12023460410557185, '2020': 0.1840277777777778, '2019': 0.225531914893617, '2018': 0.3352272727272727, '2017': 0.3233082706766917, '2016': 0.08130081300813008, '2015': -0.06818181818181818, '2014': -0.2864864864864865, '2013': -0.13551401869158877, '2012': -0.08547008547008547, '2011': 0.07339449541284404, '2010': 0.0845771144278607}","{'2023': 0.07867494824016563, '2022': 0.014705882352941176, '2021': 0.18703241895261846, '2020': 0.28938906752411575, '2019': 0.20077220077220076, '2018': 0.12121212121212122, '2017': 0.022123893805309734, '2016': -0.07755102040816327, '2015': 0.03375527426160337, '2014': -0.08139534883720931, '2013': -0.054945054945054944, '2012': -0.07142857142857142}",0.1933125,0.1933125,7.1,0.061,0.0,0.1129606045560914,0.13055864755135324
VTP,Hàng & Dịch vụ Công nghiệp,"{'2023': 380, '2022': 256, '2021': 296, '2020': 383, '2019': 380, '2018': 279, '2017': 170, '2016': 117, '2015': 63, '2014': 39, '2013': 23, '2012': 19, '2011': 18, '2010': 16}","{'2023': 0.06336260978670012, '2022': 0.05702917771883289, '2021': 0.1346877351392024, '2020': 0.31714568880079286, '2019': 0.5104790419161677, '2018': 0.6213592233009708, '2017': 0.578544061302682, '2016': 0.6111111111111112, '2015': 0.40869565217391307}","{'2023': 0.13981924508240298, '2022': 0.11433649289099526, '2021': 0.1795946890286513, '2020': 0.33613445378151263, '2019': 0.5084507042253521, '2018': 0.5812917594654788, '2017': 0.5220338983050847}",0.17898809523809522,0.375875,24.5,,0.5238095238095238,0.2165408506723392,0.3402373203970682
DHC,Tài nguyên Cơ bản,"{'2023': 309, '2022': 379, '2021': 481, '2020': 392, '2019': 182, '2018': 134, '2017': 80, '2016': 86, '2015': 80, '2014': 43, '2013': 27, '2012': -3, '2011': 3, '2010': 29, '2009': 17, '2008': 8, '2007': 6}","{'2023': 0.11160714285714286, '2022': 0.235618597320725, '2021': 0.45194508009153317, '2020': 0.5551601423487544, '2019': 0.32860520094562645, '2018': 0.33860759493670883, '2017': 0.3562231759656652, '2016': 0.5533333333333333, '2015': 0.5151515151515151, '2014': 0.3561643835616438, '2013': 0.35185185185185186, '2012': -0.14285714285714285}","{'2023': 0.12860438292964244, '2022': 0.20836236933797908, '2021': 0.43931795386158473, '2020': 0.5775316455696202, '2019': 0.41387024608501116, '2018': 0.41455696202531644, '2017': 0.19245283018867926, '2016': 0.3520408163265306, '2015': 0.5806451612903226, '2014': 0.42528735632183906}",0.1670535714285714,0.233875,9.9,0.026,0.28571428571428575,0.33658723271275637,0.339242341428262
FPT,Công nghệ Thông tin,"{'2023': 7788, '2022': 6491, '2021': 5349, '2020': 4424, '2019': 3912, '2018': 3234, '2017': 3528, '2016': 2576, '2015': 2438, '2014': 2079, '2013': 2065, '2012': 1985, '2011': 2079, '2010': 1692, '2009': 1406, '2008': 1051, '2007': 880, '2006': 536, '2005': 301, '2004': 175, '2003': 44, '2002': 18}","{'2023': 0.19453225117471165, '2022': 0.14491123392184674, '2021': 0.15689713703745614, '2020': 0.12659357470678226, '2019': 0.1322988090941898, '2018': 0.09214882547690367, '2017': 0.13847258368482454, '2016': 0.04668420063873755, '2015': 0.07535353535353535, '2014': 0.072938116397529, '2013': 0.12346280287349325, '2012': 0.15545863815419245, '2011': 0.2772686433063792, '2010': 0.3332534738859607, '2009': 0.418280665987088, '2008': 0.5201446280991735, '2007': 0.8026070763500931}","{'2023': 0.1765941587043437, '2022': 0.1591846353246141, '2021': 0.14735703663647426, '2020': 0.11894917305365067, '2019': 0.10762356883552081, '2018': 0.06895522388059701, '2017': 0.12310580662464798, '2016': 0.085128055878929, '2015': 0.11224407218580562, '2014': 0.10745653342892991, '2013': 0.1587911517291515, '2012': 0.2119572057898049, '2011': 0.31517960602549244, '2010': 0.37514227179603915, '2009': 0.46189683860232944}",0.16320833333333334,0.2448125,23.1,0.01,0.3333333333333333,0.1510466011869973,0.1288242290085498
SHS,Dịch vụ tài chính,"{'2023': 559, '2022': 162, '2021': 1396, '2020': 754, '2019': 255, '2018': 358, '2017': 370, '2016': 87, '2015': 118, '2014': 122, '2013': 12, '2012': 31, '2011': -381, '2010': 41, '2009': 85, '2008': 20}","{'2023': 0.06871794871794872, '2022': -0.06639004149377593, '2021': 0.7176535087719298, '2020': 0.5353535353535354, '2019': 0.12606635071090047, '2018': 0.48801128349788436, '2017': 0.9162162162162162, '2016': -4.775510204081633, '2015': -0.44, '2014': -0.17452830188679244, '2013': 0.0392156862745098}","{'2023': 0.13956238911886457, '2022': 0.013181545835829839, '2021': 0.6172480620155039, '2020': 0.5612708018154312, '2019': 0.2040072859744991, '2018': 2.0584958217270195, '2017': 10.966666666666667, '2016': 0.07142857142857142, '2015': -1.4}",0.1475,0.16225,17.0,,0.09090909090909091,0.2762802604121077,2.0800617961648307
CTR,Xây dựng và Vật liệu,"{'2023': 516, '2022': 443, '2021': 375, '2020': 274, '2019': 189, '2018': 147, '2017': 118, '2016': 100, '2015': 110, '2014': 93, '2013': 66, '2012': 33, '2011': 65, '2010': 49}","{'2023': 0.25840336134453784, '2022': 0.29465095194922936, '2021': 0.3321256038647343, '2020': 0.2469879518072289, '2019': 0.16901408450704225, '2018': 0.16632443531827515, '2017': 0.21144278606965175, '2016': 0.09536784741144415, '2015': 0.19934640522875818}","{'2023': 0.25273390036452004, '2022': 0.2536176694592536, '2021': 0.2735208535402522, '2020': 0.25273390036452004, '2019': 0.23388305847076463, '2018': 0.14017094017094017, '2017': 0.13372093023255813}",0.14569444444444443,0.26225,27.1,,0.4444444444444445,0.2602363906945545,0.22005446465754416
VIX,Dịch vụ tài chính,"{'2023': 966, '2022': 312, '2021': 736, '2020': 328, '2019': 116, '2018': 217, '2017': 78, '2016': 54, '2015': 73, '2014': 79, '2013': 42, '2012': -51, '2011': 7, '2010': 7, '2009': 35, '2008': 0}","{'2023': 0.4382679929783499, '2022': 0.15864406779661017, '2021': 0.8600252206809584, '2020': 0.4739776951672863, '2019': 0.07385229540918163, '2018': 0.5368098159509203, '2017': 0.6548223350253807, '2016': 0.31333333333333335, '2015': 0.7857142857142857, '2014': 1.1, '2013': -21.0}","{'2023': 0.49538294405214556, '2022': 0.1491885143570537, '2021': 0.6952380952380952, '2020': 0.4339908952959029, '2019': 0.3394308943089431, '2018': 0.7446808510638298, '2017': 0.33649289099526064, '2016': 0.09895833333333333, '2015': 0.6134453781512605}",0.14175,0.14175,10.1,,0.0,0.40095345440647734,0.4563435836158901
